address,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amount,pricing/rate/amountFormatted,pricing/rate/currency,pricing/rateType,primaryHost/badges/0,primaryHost/badges/1,primaryHost/firstName,primaryHost/hasProfilePic,primaryHost/hostUrl,primaryHost/id,primaryHost/languages/0,primaryHost/languages/1,primaryHost/languages/2,primaryHost/languages/3,primaryHost/memberSince,primaryHost/pictureUrl,primaryHost/responseRate,primaryHost/responseTime,primaryHost/smartName,primaryHost/thumbnailUrl,roomType,stars,url,primaryHost/about
"Lahore, Punjab, Pakistan",No,31.41025,74.16512,Lovely bedroom in a cottage house with chilled AC,2,25,$25,USD,nightly,,,Muhammad,true,https://www.airbnb.com/users/show/402279005,402279005,,,,,Joined in May 2021,https://a0.muscache.com/im/pictures/user/b05c0824-5202-44d8-8521-4ef3c9da4399.jpg?aki_policy=profile_large,0%,a few days or more,Muhammad,https://a0.muscache.com/im/pictures/user/b05c0824-5202-44d8-8521-4ef3c9da4399.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/52301275,
"Lahore, Punjab, Pakistan",No,31.4232,74.2487,"Near shoukat khanam Hospital and UCP,ring road",4,26,$26,USD,nightly,1 Review,,Naeem,true,https://www.airbnb.com/users/show/308635848,308635848,العربية,English,हिन्दी,ਪੰਜਾਬੀ,Joined in November 2019,https://a0.muscache.com/im/pictures/user/db153a1e-721e-439c-a66d-c3c63cbf7c77.jpg?aki_policy=profile_large,0%,a few days or more,Naeem,https://a0.muscache.com/im/pictures/user/db153a1e-721e-439c-a66d-c3c63cbf7c77.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/40904153,
"Lahore, Punjab, Pakistan",No,31.64097,74.41169,Cheep Rooms in Lahore City,4,23,$23,USD,nightly,,,Zia,true,https://www.airbnb.com/users/show/410687629,410687629,English,,,,Joined in July 2021,https://a0.muscache.com/im/pictures/user/cebb7ed3-2304-4dc9-9b85-ee4b578cb93c.jpg?aki_policy=profile_large,33%,a few days or more,Zia,https://a0.muscache.com/im/pictures/user/cebb7ed3-2304-4dc9-9b85-ee4b578cb93c.jpg?aki_policy=profile_small,Shared room,,https://www.airbnb.com/rooms/50809965,"i have 6 rooms for rent in Wapda Town Lahore for info contact
teenso-athasi-chohatar-149"
"Lahore, Punjab, Pakistan",No,31.45615,74.39161,Luxury bedrooms in dha phase 4 peacefully place,4,21,$21,USD,nightly,,,Ali,true,https://www.airbnb.com/users/show/349890266,349890266,,,,,Joined in June 2020,https://a0.muscache.com/im/pictures/user/3802af70-9d91-49a3-b76b-d7d5c9890ec3.jpg?aki_policy=profile_large,0%,a few days or more,Ali,https://a0.muscache.com/im/pictures/user/3802af70-9d91-49a3-b76b-d7d5c9890ec3.jpg?aki_policy=profile_small,Shared room ,,https://www.airbnb.com/rooms/43778756,
"Lahore, Punjab, Pakistan",No,31.54296,74.3842,BnB Hotel,4,23,$23,USD,nightly,,,Asher,true,https://www.airbnb.com/users/show/307129304,307129304,,,,,Joined in November 2019,https://a0.muscache.com/im/pictures/user/89385399-d622-4598-8a24-e4de34000e7b.jpg?aki_policy=profile_large,0%,a few days or more,Asher,https://a0.muscache.com/im/pictures/user/89385399-d622-4598-8a24-e4de34000e7b.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/39882795,
"Lahore, Punjab, Pakistan",No,31.51643,74.45994,I Have Excellent Luxurious Rooms just for YOU!,4,19,$19,USD,nightly,Identity verified,,Bilal,true,https://www.airbnb.com/users/show/394775499,394775499,,,,,Joined in March 2021,https://a0.muscache.com/im/pictures/user/cb476db8-ecf6-460e-af7b-460102ba577b.jpg?aki_policy=profile_large,0%,a few days or more,Bilal,https://a0.muscache.com/im/pictures/user/cb476db8-ecf6-460e-af7b-460102ba577b.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/48960490,
"Lahore, Punjab, Pakistan",No,31.48771,74.37973,"Free Wifi 
Free indoor Parking 
Near Main Market",16,25,$25,USD,nightly,Identity verified,,Hotel,true,https://www.airbnb.com/users/show/411044379,411044379,,,,,Joined in July 2021,https://a0.muscache.com/defaults/user_pic-640x640.png?v=3,,,Hotel,https://a0.muscache.com/defaults/user_pic-640x640.png?v=3,Private room ,,https://www.airbnb.com/rooms/50844887,
"Lahore, Punjab, Pakistan",No,31.51387,74.35068,Comfortable Stay,2,19,$19,USD,nightly,Identity verified,,Muhammad Afraz,true,https://www.airbnb.com/users/show/303829827,303829827,English,हिन्दी,ਪੰਜਾਬੀ,,Joined in October 2019,https://a0.muscache.com/im/pictures/user/060e8ff0-9170-4370-ae08-7cd1478af60d.jpg?aki_policy=profile_large,0%,a few days or more,Muhammad Afraz,https://a0.muscache.com/im/pictures/user/060e8ff0-9170-4370-ae08-7cd1478af60d.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/39544705,I am Muhammad Afraz Khan working in hospitality for 14 years.  I love to host.
"Lahore, Punjab, Pakistan",No,31.51967,74.35946,Salaar residency,2,23,$23,USD,nightly,Identity verified,,Muzaffer,true,https://www.airbnb.com/users/show/431449822,431449822,हिन्दी,ਪੰਜਾਬੀ,,,Joined in November 2021,https://a0.muscache.com/im/pictures/user/dae6eeba-6eaf-41c9-a4ed-12a7af56ab65.jpg?aki_policy=profile_large,100%,within an hour,Muzaffer,https://a0.muscache.com/im/pictures/user/dae6eeba-6eaf-41c9-a4ed-12a7af56ab65.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/53354020,This is my apartment for one day or 24 hours for rent
"Lahore, Punjab, Pakistan",No,31.44898,74.27151,Family Hotel Johar Town,2,22,$22,USD,nightly,1 Review,Identity verified,Umer,true,https://www.airbnb.com/users/show/374290045,374290045,,,,,Joined in November 2020,https://a0.muscache.com/im/pictures/user/e08eb3f4-9ece-453d-af30-6e19a7caa757.jpg?aki_policy=profile_large,14%,a few days or more,Umer,https://a0.muscache.com/im/pictures/user/e08eb3f4-9ece-453d-af30-6e19a7caa757.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/53143070,
"Lahore, Punjab, Pakistan",No,31.4552,74.23813,Fully furnished Luxury Studio Bedroom available,2,23,$23,USD,nightly,Identity verified,,Ch Usman,true,https://www.airbnb.com/users/show/344300387,344300387,English,,,,Joined in April 2020,https://a0.muscache.com/im/pictures/user/d9a3fc56-45a4-44df-af8b-a07863690f70.jpg?aki_policy=profile_large,0%,a few days or more,Ch Usman,https://a0.muscache.com/im/pictures/user/d9a3fc56-45a4-44df-af8b-a07863690f70.jpg?aki_policy=profile_small,Entire place,,https://www.airbnb.com/rooms/43768424,"We Only Deal In Fair Deals With Patience...
We Try To Earn More Respect And Love By Gaining Long Term Refrences, Not For Hungry To Earn Money....."
"Lahore, Punjab, Pakistan",No,31.45581,74.2719,Sweet Stay in Johar Town - One Bedroom Unit,2,31,$31,USD,nightly,Identity verified,,Ahsan,true,https://www.airbnb.com/users/show/388448501,388448501,,,,,Joined in February 2021,https://a0.muscache.com/im/pictures/user/8a82f713-524c-49b7-9b70-b6cd173fe2a8.jpg?aki_policy=profile_large,33%,a few days or more,Ahsan,https://a0.muscache.com/im/pictures/user/8a82f713-524c-49b7-9b70-b6cd173fe2a8.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/50228513,
"Lahore, Punjab, Pakistan",No,31.49387,74.37181,A place to relax with privacy and security,1,26,$26,USD,nightly,Identity verified,,Nasir,true,https://www.airbnb.com/users/show/398954784,398954784,,,,,Joined in April 2021,https://a0.muscache.com/im/pictures/user/6cf7acda-cb5b-4ddf-8895-394e9615ceec.jpg?aki_policy=profile_large,0%,a few days or more,Nasir,https://a0.muscache.com/im/pictures/user/6cf7acda-cb5b-4ddf-8895-394e9615ceec.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/49467228,
"Lahore, Punjab, Pakistan",No,31.521,74.257,One bed room with huge TV and Drawing room,2,23,$23,USD,nightly,Identity verified,,Liaquat,true,https://www.airbnb.com/users/show/280385074,280385074,,,,,Joined in July 2019,https://a0.muscache.com/im/pictures/user/9fb3da6a-a3cd-4fd9-bfbf-48598a7bd91d.jpg?aki_policy=profile_large,60%,within a day,Liaquat,https://a0.muscache.com/im/pictures/user/9fb3da6a-a3cd-4fd9-bfbf-48598a7bd91d.jpg?aki_policy=profile_small,Entire place,,https://www.airbnb.com/rooms/42018613,
"Lahore, Punjab, Pakistan",No,31.52109,74.29387,Convenient 1BHK apartment in Moon Market Lahore,3,23,$23,USD,nightly,,,Waseem,true,https://www.airbnb.com/users/show/312754374,312754374,,,,,Joined in November 2019,https://a0.muscache.com/im/pictures/user/fc2a6aca-4db4-48e8-ac2b-1960ce8e153e.jpg?aki_policy=profile_large,0%,a few days or more,Waseem,https://a0.muscache.com/im/pictures/user/fc2a6aca-4db4-48e8-ac2b-1960ce8e153e.jpg?aki_policy=profile_small,Entire place,,https://www.airbnb.com/rooms/42330392,
"Lahore, Punjab, Pakistan",No,31.44483,74.43914,Room for couple,3,23,$23,USD,nightly,,,Shehroz,true,https://www.airbnb.com/users/show/286737607,286737607,,,,,Joined in August 2019,https://a0.muscache.com/im/pictures/user/f103fd39-75e5-4d40-a78d-db6bbd8f1884.jpg?aki_policy=profile_large,0%,a few days or more,Shehroz,https://a0.muscache.com/im/pictures/user/f103fd39-75e5-4d40-a78d-db6bbd8f1884.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/41768450,
"Lahore, Punjab, Pakistan",No,31.45053,74.28402,Neat and clean Newly build complete floor for you.,2,23,$23,USD,nightly,,,Muhammad Aftab,true,https://www.airbnb.com/users/show/304179704,304179704,,,,,Joined in October 2019,https://a0.muscache.com/im/pictures/user/668d2719-d371-415e-9df4-09364520898d.jpg?aki_policy=profile_large,,,Muhammad Aftab,https://a0.muscache.com/im/pictures/user/668d2719-d371-415e-9df4-09364520898d.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/43293933,
"Lahore, Punjab, Pakistan",No,31.46721,74.24171,Room with a lush green yard,2,23,$23,USD,nightly,,,Waleed,true,https://www.airbnb.com/users/show/152555870,152555870,,,,,Joined in September 2017,https://a0.muscache.com/im/pictures/user/2608124b-f04e-4025-8f57-fe86dc63bfbe.jpg?aki_policy=profile_large,,,Waleed,https://a0.muscache.com/im/pictures/user/2608124b-f04e-4025-8f57-fe86dc63bfbe.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/47756376,
